대분류,중분류,소분류,category_code,total_count_en,name,summary,has_photo,cid
Accommodations,Hotels,,Ce7q5s7,9,Hotel Poco Seongsu,"Hotel Poco Seongsu is a lifestyle hotel that aims to provide a safe haven in the fast-paced and bustling city center. Located just a 2-minute walk from Exit 3 of Seongsu Station, it offers excellent a",True,ENPx17ry7
Accommodations,Hotels,,Ce7q5s7,9,Andaz Seoul Gangnam,A luxurious lifestyle hotel that showcases the local culture and sensibilities of the area with a modern touch in the heart of Gangnam.,True,ENP9dsjmt
Accommodations,Hotels,,Ce7q5s7,9,Nuwa,"Nuwa, a small hanok deep in the narrow alleys of Seochon's residential area",True,ENP042850
Accommodations,Hotels,,Ce7q5s7,9,Eungjeongheon,Enjoying nature in a hanok hotel,True,ENP042849
Accommodations,Hotels,,Ce7q5s7,9,Vista Walkerhill Seoul,"Located in Achasan, Gwangjin-gu, Vista Walkerhill Seoul is the best place to soak in a hot tub while viewing the wonderful scenery of the Hangang River.",True,ENP028037
Accommodations,Hotels,,Ce7q5s7,9,Hotel Cappuccino,"Welcome to Hotel Cappuccino, an urban lifestyle destination where every day brings new surprises and inspiration.",True,ENP024551
Accommodations,Hotels,,Ce7q5s7,9,Mayfield Hotel,The Mayfield Hotel is a conveniently located urban resort in Seoul.,True,ENP012495
Accommodations,Hotels,,Ce7q5s7,9,Grand Walkerhill Hotel,The Grand Walkerhill Hotel is a five-star hotel located between the Hangang River and Achasan Mountain.,True,ENP013049
Accommodations,Hotels,,Ce7q5s7,9,Conrad Seoul Hotel,"The Conrad Seoul Hotel is a 5-star hotel located in Yeongdeungpo-gu, Seoul.",True,ENP011307
Cuisine,,,Cl9s3y9,1263,ASHLEY QUEENS HONGDAE BRANCH,Korea’s No. 1 Buffet Brand that serves 20 million customers yearly.,True,ENPt829ij
Cuisine,,,Cl9s3y9,1263,ASHLEY QUEENS SEONGSU NAKNAK BRANCH,Unlimited Wine & Tap Beer Special Store : Perfect spot to Wine & Dine,True,ENPf0gxy1
Cuisine,,,Cl9s3y9,1263,ASHLEY QUEENS DUNDUN DONGDAEMUN BRANCH,Korea’s No. 1 Buffet Brand that serves 20 million customers yearly.,True,ENPwv6j5f
Cuisine,,,Cl9s3y9,1263,Cheongdonok,"A Hongdae BBQ restaurant grilling domestic female pork, cross-aged wet and dry for 240 hours, over charcoal.",True,ENPpr9v1k
Cuisine,,,Cl9s3y9,1263,Joseph's Coffee Tree,A specialized roastery cafe where you can taste specialty coffee brewed directly by a Barista Championship judge.,True,ENP6sdoro
Cuisine,,,Cl9s3y9,1263,Babjitgo Tiurim (Cooking Rice and Brewing Tea),"A place where tea is brewed, rice is cooked, and alcohol is aged with sincere hands.",True,ENPll1tbp
Cuisine,,,Cl9s3y9,1263,Jazz Story,A live jazz cafe where you can listen under cozy incandescent lights.,True,ENPuhyzcz
Cuisine,,,Cl9s3y9,1263,Dongjak Sunset Café,A cafe where you can leisurely view the Yeouido landscape from Dongjak Bridge.,True,ENPa7mlqm
Cuisine,,,Cl9s3y9,1263,THE SSANGHWA  ,A premium traditional herbal tea cafe that preserves traditional herbal medicinal secrets while catering to modern palates.,True,ENPc4ztew
Cuisine,,,Cl9s3y9,1263,Dotori Oven,A Seongsu cafe famous for desserts that captivates visitors with an exterior resembling a fairy-tale world.,True,ENPn176ze
Cuisine,Bars & Clubs,,Ck6n0w6,53,Jazz Story,A live jazz cafe where you can listen under cozy incandescent lights.,True,ENPuhyzcz
Cuisine,Bars & Clubs,,Ck6n0w6,53,Baekpal (108),"A bar located at the end of Huam-dong, Yongsan, beneath the 108 steps of Haebangchon.",True,ENP2w1s9w
Cuisine,Bars & Clubs,,Ck6n0w6,53,l’oubli,A quiet and cozy bar located in Seorae Village,True,ENPpxfou6
Cuisine,Bars & Clubs,,Ck6n0w6,53,Romantic LP Bar Jamsil Bangi Branch,"An LP bar where guests can enjoy drinks, great music, and romance through real LP listening",True,ENPadtomq
Cuisine,Bars & Clubs,,Ck6n0w6,53,Four Seasons Hotel Seoul Charles H.,An exotic cocktail bar named after a legendary American writer,True,ENP8f9it6
Cuisine,Bars & Clubs,,Ck6n0w6,53,Bangul & Kkomak,A Korean-style tavern in Yongsan specializing in seasonal seafood and pojangmacha dishes,True,ENParm2do
Cuisine,Bars & Clubs,,Ck6n0w6,53,Namsan Sul Club,A traditional liquor bar where you can taste 100 types of Korean liquor by the glass,True,ENP2h7itr
Cuisine,Bars & Clubs,,Ck6n0w6,53,Mexitiger,A bold and edgy Mexican-Chinese tequila pub inspired by the cantinas of San Cristóbal,True,ENPb3iegs
Cuisine,Bars & Clubs,,Ck6n0w6,53,Amazing Brewing Company Seongsu Brewpub,A pub where you can enjoy 50 kinds of freshly brewed craft beer,True,ENPni42mf
Cuisine,Bars & Clubs,,Ck6n0w6,53,Mullae Pocha 1422,"A go-to bar for great side dishes, approved by Mullae’s factory owners and run by a chef with over 30 years of experience in Chinese cuisine",True,ENPhnvr4s
Cuisine,Cafes & Tea Shops,,Cx0t8m5,226,Joseph's Coffee Tree,A specialized roastery cafe where you can taste specialty coffee brewed directly by a Barista Championship judge.,True,ENP6sdoro
Cuisine,Cafes & Tea Shops,,Cx0t8m5,226,Dongjak Sunset Café,A cafe where you can leisurely view the Yeouido landscape from Dongjak Bridge.,True,ENPa7mlqm
Cuisine,Cafes & Tea Shops,,Cx0t8m5,226,THE SSANGHWA  ,A premium traditional herbal tea cafe that preserves traditional herbal medicinal secrets while catering to modern palates.,True,ENPc4ztew
Cuisine,Cafes & Tea Shops,,Cx0t8m5,226,Dotori Oven,A Seongsu cafe famous for desserts that captivates visitors with an exterior resembling a fairy-tale world.,True,ENPn176ze
Cuisine,Cafes & Tea Shops,,Cx0t8m5,226,Undebt,A cafe featuring an interior that aims for the enjoyment of nature in the heart of the city.,True,ENP14h5v9
Cuisine,Cafes & Tea Shops,,Cx0t8m5,226,Tung Empty Life,A cafe and beer bar at Anguk Station with a great view capturing the scenery of Jongno.,True,ENP7bb6ng
Cuisine,Cafes & Tea Shops,,Cx0t8m5,226,Scoff Seochon,"A British bakery cafe famous for its scones, serving as the 1st Seochon branch (main branch).",True,ENP2ms2gs
Cuisine,Cafes & Tea Shops,,Cx0t8m5,226,H COFFEE ROASTERS SEOCHON,A cafe located in a Seochon alley that directly roasts specialty coffee.,True,ENP5l258t
Cuisine,Cafes & Tea Shops,,Cx0t8m5,226,Space K Nodeul,A media art cafe and complex cultural space remodeled from the former Noryangjin Water Intake Station,True,ENP5xmb4f
Cuisine,Cafes & Tea Shops,,Cx0t8m5,226,Surokgok Giroksil,"A book cafe & bar where individual listening to LPs, CDs, and cassette tapes is possible at each seat.",True,ENPz2k7k0
Cuisine,Foreign Restaurant,,Cx2j0n1,248,I.O MEAL,A one-plate Japanese home-style dining restaurant using seasonal ingredients.,True,ENP53n6hr
Cuisine,Foreign Restaurant,,Cx2j0n1,248,Namsan memories,A Japanese restaurant with a wonderful panoramic view of Namsan Tower unfolding above the rooftop.,True,ENP3qxuik
Cuisine,Foreign Restaurant,,Cx2j0n1,248,Guanho Yeouido Main Branch,"A lamb rib specialty restaurant that grills premium Halal young lamb over charcoal.
A premier restaurant for business meetings and hosting foreigners, featuring private rooms and a service where staf",True,ENPqilmw0
Cuisine,Foreign Restaurant,,Cx2j0n1,248,Himalaya Jonggak,“Little India across from Cheonggyecheon and Bosingak”,True,ENPe3levx
Cuisine,Foreign Restaurant,,Cx2j0n1,248,The Makan Yeouido,“A Malaysian Refresh among the Skyscrapers”,True,ENPz6bmpi
Cuisine,Foreign Restaurant,,Cx2j0n1,248,Kwanho Yeouido,“The True Taste of Premium Lamb Barbecue with Rich Smoky Flavor”,True,ENP5j7jo8
Cuisine,Foreign Restaurant,,Cx2j0n1,248,Durga Gwanghwamun,"“The taste and tradition of Indian and Nepalese cuisine enjoyed comfortably""",True,ENP4aaule
Cuisine,Foreign Restaurant,,Cx2j0n1,248,Bobae Banjum Myeongdong Branch,A Chinese restaurant where you can enjoy authentic Chinese cuisine in the heart of Myeongdong,True,ENPum8opd
Cuisine,Foreign Restaurant,,Cx2j0n1,248,Yankees Grill,An American style steak house located in Mullae Creative Village,True,ENPjnrt3e
Cuisine,Foreign Restaurant,,Cx2j0n1,248,CARAVEL East Asia Hannam,"A unique restaurant that delivers the authentic everyday flavors enjoyed by people in Korea, Japan, Taiwan, and China",True,ENPtif74h
Cuisine,Foreign Restaurant,Chinese,Cm1y8v1,65,Kwanho Yeouido,“The True Taste of Premium Lamb Barbecue with Rich Smoky Flavor”,True,ENP5j7jo8
Cuisine,Foreign Restaurant,Chinese,Cm1y8v1,65,Bobae Banjum Myeongdong Branch,A Chinese restaurant where you can enjoy authentic Chinese cuisine in the heart of Myeongdong,True,ENPum8opd
Cuisine,Foreign Restaurant,Chinese,Cm1y8v1,65,Janggagu,A Nostalgic Chinese Restaurant That Has Remained in the Same Spot for Over 40 Years,True,ENPsknabd
Cuisine,Foreign Restaurant,Chinese,Cm1y8v1,65,Yongyong Teacher Maradowon,Paradise for mara lovers,True,ENP9xvv34
Cuisine,Foreign Restaurant,Chinese,Cm1y8v1,65,LaiLai Yeonhuidong Main Branch,A Chinese restaurant with delicious chili peppers located in Yeonhui-dong,True,ENP8g4m6k
Cuisine,Foreign Restaurant,Chinese,Cm1y8v1,65,Gabongnu,A popular Chinese restaurant in Gwanghwamun known for its delicious Fried Pork,True,ENP1y7wri
Cuisine,Foreign Restaurant,Chinese,Cm1y8v1,65,Sinrakwon,A Chinese restaurant run by a culinary prodigy who once worked in the presidential kitchen at Chung Wa Dae,True,ENP1rnlut
Cuisine,Foreign Restaurant,Chinese,Cm1y8v1,65,[Baeknyeon-gage] Donghunkwan,"The weight of 70 years in one place is piled up all over the store. Donghung, founded by a father of Chinese origin, has been passed down from son to grandson.",True,ENP042265
Cuisine,Foreign Restaurant,Chinese,Cm1y8v1,65,[Baeknyeon-gage] Songjugjang ,"Songjugjang, the first Chinese restaurant, started in 1952 and run by Shin Moo-song, former chairman of the Overseas Chinese Restaurant Association, has the taste of its food preserved by Shin Yeon-kyung, the eldest son.",True,ENP042268
Cuisine,Foreign Restaurant,Chinese,Cm1y8v1,65,Modern Nülang,A modern and romantic Chinese restaurant decorated in the style of 1930s Shanghai.,True,ENP017695
Cuisine,Foreign Restaurant,Fusion,Cx3e9k9,6,Italy Two-Story House,Fusion Western restaurant on Yongridan-gil famous for delicious pasta,True,ENPlsskfb
Cuisine,Foreign Restaurant,Fusion,Cx3e9k9,6,Bermuda Samgakji,A fusion restaurant based on Mexican and Western cuisine,True,ENP9fsdzk
Cuisine,Foreign Restaurant,Fusion,Cx3e9k9,6,NOR,"Immersive dining experience! This Crab Dining experience is intertwined with multimedia art, designed to engage all the senses, resulting in a unique and immersive gastronomic journey.",True,ENP2osya6
Cuisine,Foreign Restaurant,Fusion,Cx3e9k9,6,Viking's Wharf (Coex Mall),Korea's first lobster buffet with unlimited refills,True,ENP034432
Cuisine,Foreign Restaurant,Fusion,Cx3e9k9,6,Nammi Plant Lab,Nammi Plant Lab is a vegan restaurant run by a Colombian chef.,True,ENP030985
Cuisine,Foreign Restaurant,Fusion,Cx3e9k9,6,Famille Station,"Famille Station is a space of trendy, delicious restaurants all gathered in one place.",True,ENP029545
Cuisine,Foreign Restaurant,Japanese,Ch7l5i4,40,I.O MEAL,A one-plate Japanese home-style dining restaurant using seasonal ingredients.,True,ENP53n6hr
Cuisine,Foreign Restaurant,Japanese,Ch7l5i4,40,Namsan memories,A Japanese restaurant with a wonderful panoramic view of Namsan Tower unfolding above the rooftop.,True,ENP3qxuik
Cuisine,Foreign Restaurant,Japanese,Ch7l5i4,40,Sun Tomato Ramen,"Trendy ramen from Japan, Taiyo no Tomato Ramen",True,ENPlqylq6
Cuisine,Foreign Restaurant,Japanese,Ch7l5i4,40,Kihoo,A Seongsu Omakase restaurant featuring seasonal dishes representing Korea’s four seasons,True,ENPa5dv4z
Cuisine,Foreign Restaurant,Japanese,Ch7l5i4,40,Whitturu ,"Whitturu, an odeng bar in Seongsu-dong is perfect for enjoying delicious fish cake dishes and a drink",True,ENPtelk0a
Cuisine,Foreign Restaurant,Japanese,Ch7l5i4,40,Cochon Tonkatsu,"A pork cutlet restaurant in Sinchon where you can eat a meal for 3,000 KRW",True,ENPf7618z
Cuisine,Foreign Restaurant,Japanese,Ch7l5i4,40,Sushi Hiroba (Samsung-dong Branch),Sushi Hiroba is a domestic brand and one of the biggest conveyor belt sushi restaurants in Korea.,True,ENP030913
Cuisine,Foreign Restaurant,Japanese,Ch7l5i4,40,Sushi Kaisin,"Formerly a chef at one of Tokyo's 5-star hotel, the owner of Sushi Kaisin carefully selects the freshest fish to create the best omakase for his customers.",True,ENP025621
Cuisine,Foreign Restaurant,Japanese,Ch7l5i4,40,Malta Chamchi ,"Malta Chamchi specializes in tuna. The prices are reasonable, but cuts like otoro (front part of tuna abdomen), beggop (the underside of the chutoro cut) , and kamatoro (abdomen part around the gills of tuna) are of quite good quality.",True,ENP012013
Cuisine,Foreign Restaurant,Japanese,Ch7l5i4,40,Izumi,Izumi offers fresh sushi and sashimi.,True,ENP011593
Cuisine,Foreign Restaurant,Others,Cn7k2s5,42,Himalaya Jonggak,“Little India across from Cheonggyecheon and Bosingak”,True,ENPe3levx
Cuisine,Foreign Restaurant,Others,Cn7k2s5,42,The Makan Yeouido,“A Malaysian Refresh among the Skyscrapers”,True,ENPz6bmpi
Cuisine,Foreign Restaurant,Others,Cn7k2s5,42,Durga Gwanghwamun,"“The taste and tradition of Indian and Nepalese cuisine enjoyed comfortably""",True,ENP4aaule
Cuisine,Foreign Restaurant,Others,Cn7k2s5,42,Oldy’s Taco Euljiro Main Branch,An exotic taco specialty restaurant known for both taste and atmosphere,True,ENPhsowxr
Cuisine,Foreign Restaurant,Others,Cn7k2s5,42,Himalaya Jonggak Branch,Himalaya is an Indian and Nepalese restaurant.,True,ENP031015
Cuisine,Foreign Restaurant,Others,Cn7k2s5,42,Durga Main Branch,Durga is an Indian and Nepalese restaurant.,True,ENP031013
Cuisine,Foreign Restaurant,Others,Cn7k2s5,42,Kali Sadang Branch,"A restaurant serving food made by an Indian chef, Kali Sadang Branch offers visitors a wide range of dishes and beverages in their menu.",True,ENP030983
Cuisine,Foreign Restaurant,Others,Cn7k2s5,42,Ganga Jamsil Branch,"Starting as a restaurant in Sinsa back in 2000, Ganga is currently a chain restaurant with many branch stores available throughout the country.",True,ENP030970
Cuisine,Foreign Restaurant,Others,Cn7k2s5,42,Ganga Mugyo Branch,Ganga is an Indian restaurant serving authentic Indian cuisine.,True,ENP030957
Cuisine,Foreign Restaurant,Others,Cn7k2s5,42,Ganga Yeoksam Branch,Ganga is an Indian restaurant serving authentic Indian cuisine.,True,ENP030956
Cuisine,Foreign Restaurant,Western,Cl9n1c2,90,Guanho Yeouido Main Branch,"A lamb rib specialty restaurant that grills premium Halal young lamb over charcoal.
A premier restaurant for business meetings and hosting foreigners, featuring private rooms and a service where staf",True,ENPqilmw0
Cuisine,Foreign Restaurant,Western,Cl9n1c2,90,Yankees Grill,An American style steak house located in Mullae Creative Village,True,ENPjnrt3e
Cuisine,Foreign Restaurant,Western,Cl9n1c2,90,Coccinelle,A casual farm to table French bistro,True,ENPag9r0c
Cuisine,Foreign Restaurant,Western,Cl9n1c2,90,Kensington Hotel Broadway,All-day dining restaurant,True,ENP6rymuy
Cuisine,Foreign Restaurant,Western,Cl9n1c2,90,Oddhaus Osteria,Brunch and wine enjoyed in a historic building,True,ENPb49ucp
Cuisine,Foreign Restaurant,Western,Cl9n1c2,90,SZIMPATIKUS Yongsan Branch ,A fine casual restaurant offering European cuisine with an Asian twist,True,ENPawn5vl
Cuisine,Foreign Restaurant,Western,Cl9n1c2,90,Seongsudarak,An omurice and pasta specialty restaurant located in the Seongsu-dong café street,True,ENPmmx0cv
Cuisine,Foreign Restaurant,Western,Cl9n1c2,90,Sadelleʼs at Kith Seoul,A popular brunch restaurant from New York,True,ENPcmzo8u
Cuisine,Foreign Restaurant,Western,Cl9n1c2,90,Apgujeong Door to Door ,A charming brunch café that brings to mind open-air cafés in Europe,True,ENP5lzzfv
Cuisine,Foreign Restaurant,Western,Cl9n1c2,90,Bittle’s Pizza Yeonnam ,An American-style pizzeria in Yeonnam-dong with an outdoor terrace,True,ENP5pwtvb
Cuisine,Korean Restaurants,,Cz9d1h6,544,ASHLEY QUEENS HONGDAE BRANCH,Korea’s No. 1 Buffet Brand that serves 20 million customers yearly.,True,ENPt829ij
Cuisine,Korean Restaurants,,Cz9d1h6,544,ASHLEY QUEENS SEONGSU NAKNAK BRANCH,Unlimited Wine & Tap Beer Special Store : Perfect spot to Wine & Dine,True,ENPf0gxy1
Cuisine,Korean Restaurants,,Cz9d1h6,544,ASHLEY QUEENS DUNDUN DONGDAEMUN BRANCH,Korea’s No. 1 Buffet Brand that serves 20 million customers yearly.,True,ENPwv6j5f
Cuisine,Korean Restaurants,,Cz9d1h6,544,Cheongdonok,"A Hongdae BBQ restaurant grilling domestic female pork, cross-aged wet and dry for 240 hours, over charcoal.",True,ENPpr9v1k
Cuisine,Korean Restaurants,,Cz9d1h6,544,Babjitgo Tiurim (Cooking Rice and Brewing Tea),"A place where tea is brewed, rice is cooked, and alcohol is aged with sincere hands.",True,ENPll1tbp
Cuisine,Korean Restaurants,,Cz9d1h6,544,Palgyejip,A Korean cuisine specialty restaurant where you can feel the sensibility of Hongdae and Yeonnam.,True,ENPh7v6i1
Cuisine,Korean Restaurants,,Cz9d1h6,544,Muguok,A chicken specialty restaurant featuring a rich broth boiled in a traditional iron cauldron (Gamasot).,True,ENP8ndtkv
Cuisine,Korean Restaurants,,Cz9d1h6,544,Munjeonseongsi,"A Korean pub specializing in Jeon (Korean pancakes) with diverse and generous portions, perfectly harmonized with Makgeolli.",True,ENPq5g5y2
Cuisine,Korean Restaurants,,Cz9d1h6,544,Dalmaji Gwangjang Barbecue,"A K-BBQ house specializing in made-to-order barbecue, located in Euljiro.",True,ENPjdhubv
Cuisine,Korean Restaurants,,Cz9d1h6,544,Durumi Bunsik N Seoul Tower Branch,A new taste of Bunsik (Korean street food) enjoyed at Namsan,True,ENPqyikuv
Culture,,,Ca0o2d4,728,Seongbuk Young Art Space,A living creative space that continues to experiment across the diverse terrain of creation.,True,ENP4u05qa
Culture,,,Ca0o2d4,728,Haechi Madang (Gwanghwamun Square),"A place that connects Gwanghwamun Station and Gwanghwamun Square, serving as a venue for rest and meetings.",True,ENPj1ro8q
Culture,,,Ca0o2d4,728,Atelier Gwanghwa,A media gallery established on the exterior wall of the Sejong Center for the Performing Arts.,True,ENPwd3ohy
Culture,,,Ca0o2d4,728,The Garden of Simwon : Ink and Silence,"The moment when ink, deep empty space, and time-embracing trees become a single garden.",True,ENPt1364i
Culture,,,Ca0o2d4,728,"Summer Table : Six Hands, One Table","A special exhibition by six craft artists, <Summer Hands, One Six Table Table:>",True,ENPqosaz0
Culture,,,Ca0o2d4,728,ICON: The Chair Series,"Major new works that unravel human existence, desire, and the structure of memory and time through a unique visual language, centered on 'The Chair' series, which has been explored over a long period.",True,ENPhs2wlq
Culture,,,Ca0o2d4,728,Samilro Changgo Theater,"A Seoul Future Heritage site and a small-theater-based complex cultural space aiming for performances, exhibitions, and the incubation of young artists.",True,ENP0e0w4k
Culture,,,Ca0o2d4,728,BANKSY: Still Here,"A symbol stronger than identity, Banksy's unending message!",True,ENPx0x7wx
Culture,,,Ca0o2d4,728,Kwon Byungjun: I Embrace You,"A solo exhibition by artist Kwon Byungjun, who has long explored the intersection of technology and art, featured as part of the annual Children+ exhibition at the Seoul Museum of Art, Buk-Seoul Museu",True,ENPm8j6gm
Culture,,,Ca0o2d4,728,Everything Dance Hall,"Hongik University Department of Art Studies Graduation Exhibition 《Everything Dance Hall》. This exhibition, created together by 13 artists and emerging curators, compares our lives living in an uncert",True,ENPwdbw7j
Culture,Convention Centers,,Cp7e6o3,5,aT Center,"The aT Center is a new type of convention center for holding exhibition, conferences, business meetings, and more.",True,ENP029561
Culture,Convention Centers,,Cp7e6o3,5,Sejong University Convention Center,"A modern facility with the stunning Acha Mountain and the lush forest of the Children’s Grand Park in the backdrop, the Sejong Convention Center is an international-level facility specially designed to provide a full “one-stop” service for professional customers.",True,ENP024668
Culture,Convention Centers,,Cp7e6o3,5,COEX,"This convention center features a conference hall which can host large events such as international conferences, international receptions, business seminars and small conferences.",True,ENP024663
Culture,Convention Centers,,Cp7e6o3,5,The RAUM,"Social Events Exquisitely Hosted by The RAUM for Precious Guests. The RAUM is located in Gangnam, Seoul, which is easily accessible from every part of the city.",True,ENP024630
Culture,Convention Centers,,Cp7e6o3,5,KBS Tourhall,KBS Tourhall is Korea's first dedicated broadcasting exhibition hall in Korea.,True,ENP005246
Culture,Cultural Districts,,Ca1u7i6,50,LuggageQ Hongdae Branch,A 24-hour unmanned luggage storage near Hongik University Station where you can affordably store your items in large lockers that can fit up to six 20-inch suitcases.,True,ENPqyzmh2
Culture,Cultural Districts,,Ca1u7i6,50,LuggageQ Seoul Station Branch,A 24-hour unmanned luggage storage near Seoul Station where you can affordably store your items in large lockers that can fit up to six 20-inch suitcases.,True,ENP60cztf
Culture,Cultural Districts,,Ca1u7i6,50,Yongsan Cultural Foundation Complex Cultural Space,A central hub for culture and arts integrated into daily life.,True,ENPpip0hk
Culture,Cultural Districts,,Ca1u7i6,50,Hangangjin Station,"The start of Hannam-dong's hidden showroom street, a Line 6 subway station you want to walk along.",True,ENPk0c3m0
Culture,Cultural Districts,,Ca1u7i6,50,Hangang Play Place,"A complex cultural space where all the joys of the Han River come together, offering diverse ways to experience the many charms of the Han River.",True,ENPqb6ctu
Culture,Cultural Districts,,Ca1u7i6,50,Arcade Seoul,A Mullae dong complex cultural space born from an old iron workshop,True,ENPsrsape
Culture,Cultural Districts,,Ca1u7i6,50,Chungmuro Station,"A station located in Chungmuro, once called the mecca of Korean cinema.",True,ENP70yggc
Culture,Cultural Districts,,Ca1u7i6,50,Magok Cultural Street,A cultural and artistic street in Magok District,True,ENP0asdjp
Culture,Cultural Districts,,Ca1u7i6,50,Seoul Regional Tourism Center,A space where you can discover travel information from all regions of Korea in one place,True,ENPh83fpt
Culture,Cultural Districts,,Ca1u7i6,50,Euljiro Nogari Alley,The food alley of Euljiro,True,ENPf8bj59
Culture,Cultural Facilities,,Cg1x6l1,450,Seongbuk Young Art Space,A living creative space that continues to experiment across the diverse terrain of creation.,True,ENP4u05qa
Culture,Cultural Facilities,,Cg1x6l1,450,The Garden of Simwon : Ink and Silence,"The moment when ink, deep empty space, and time-embracing trees become a single garden.",True,ENPt1364i
Culture,Cultural Facilities,,Cg1x6l1,450,"Summer Table : Six Hands, One Table","A special exhibition by six craft artists, <Summer Hands, One Six Table Table:>",True,ENPqosaz0
Culture,Cultural Facilities,,Cg1x6l1,450,ICON: The Chair Series,"Major new works that unravel human existence, desire, and the structure of memory and time through a unique visual language, centered on 'The Chair' series, which has been explored over a long period.",True,ENPhs2wlq
Culture,Cultural Facilities,,Cg1x6l1,450,BANKSY: Still Here,"A symbol stronger than identity, Banksy's unending message!",True,ENPx0x7wx
Culture,Cultural Facilities,,Cg1x6l1,450,Kwon Byungjun: I Embrace You,"A solo exhibition by artist Kwon Byungjun, who has long explored the intersection of technology and art, featured as part of the annual Children+ exhibition at the Seoul Museum of Art, Buk-Seoul Museu",True,ENPm8j6gm
Culture,Cultural Facilities,,Cg1x6l1,450,Everything Dance Hall,"Hongik University Department of Art Studies Graduation Exhibition 《Everything Dance Hall》. This exhibition, created together by 13 artists and emerging curators, compares our lives living in an uncert",True,ENPwdbw7j
Culture,Cultural Facilities,,Cg1x6l1,450,IBK Moduda Family Concert 2026,The ‘IBK Moduda Family Concert’ where families with diverse cultures and stories gather together to share warm music and unforgettable memories.,True,ENP6y9jr9
Culture,Cultural Facilities,,Cg1x6l1,450,club Seolhwa,"The unfair stories of villains and misunderstood beings in Korean folktales.
A new form of audience-participatory performance combining musicals and club culture.",True,ENPnw33eg
Culture,Cultural Facilities,,Cg1x6l1,450,Drawing Room,A commercial exhibition space designed to deliver a familiar experience of contemporary art.,True,ENP52w7m1
Culture,Cultural Facilities,Art Museums/Galleries,Ct9t6m8,57,Drawing Room,A commercial exhibition space designed to deliver a familiar experience of contemporary art.,True,ENP52w7m1
Culture,Cultural Facilities,Art Museums/Galleries,Ct9t6m8,57,My Art Museum One Grove Branch,An art museum where daily life and art meet.,True,ENP5uw5dz
Culture,Cultural Facilities,Art Museums/Galleries,Ct9t6m8,57,Seokpajeong Seoul Museum of Art,"A private art museum located in Buam-dong, Jongno-gu.",True,ENP15st7z
Culture,Cultural Facilities,Art Museums/Galleries,Ct9t6m8,57,Kansong Art Museum,Korea's first private art museum.,True,ENPxa3w2o
Culture,Cultural Facilities,Art Museums/Galleries,Ct9t6m8,57,Seoul Museum of Art Buk Seoul Branch,"A cultural communication space where the museum and park meet, and people, nature, and art live and breathe together",True,ENP1f5yex
Culture,Cultural Facilities,Art Museums/Galleries,Ct9t6m8,57,Seoul Art Center Doam Gallery,"A gallery where various artistic activities take place, including exhibitions, academies, and workshops",True,ENP6edc88
Culture,Cultural Facilities,Art Museums/Galleries,Ct9t6m8,57,Platform-L Contemporary Art Center,An art center open to both those who create and those who enjoy art.,True,ENPn0wsm1
Culture,Cultural Facilities,Art Museums/Galleries,Ct9t6m8,57,Gallery Chosun,"A gallery inheriting the spirit of Chosun Gallery, the second-oldest art gallery in Korea.",True,ENP5hau1h
Culture,Cultural Facilities,Art Museums/Galleries,Ct9t6m8,57,Pace Gallery Seoul,A leading global gallery representing contemporary art.,True,ENPet80lf
